split,feature,comparison,left_count,right_count,ks_statistic,ks_pvalue,absolute_median_iqr_effect
validation,price_to_sma_10,BUY_vs_NO_TRADE,1703,4720,0.08569436288901933,1.9024317890104256e-08,0.14143157331628334
validation,price_to_sma_10,SELL_vs_NO_TRADE,1568,4720,0.03235039778623311,0.16571059006615985,0.02962129055338081
validation,price_to_sma_10,BUY_vs_SELL,1703,1568,0.06887942346639181,0.0008095373043502149,0.10732472551361837
validation,price_to_sma_20,BUY_vs_NO_TRADE,1703,4720,0.048338425709366306,0.005539455974898046,0.08422837738225593
validation,price_to_sma_20,SELL_vs_NO_TRADE,1568,4720,0.03480845728121751,0.11216183655597456,0.03829696145240123
validation,price_to_sma_20,BUY_vs_SELL,1703,1568,0.05135819741872086,0.025718687740512433,0.048648120693092975
validation,price_to_sma_50,BUY_vs_NO_TRADE,1703,4720,0.030227440110672132,0.1980349128337315,0.0070856509794888
validation,price_to_sma_50,SELL_vs_NO_TRADE,1568,4720,0.03982402282947077,0.046273641051202255,0.02881959280452931
validation,price_to_sma_50,BUY_vs_SELL,1703,1568,0.045392959003918654,0.06637742157027872,0.023733593848306155
validation,price_to_sma_200,BUY_vs_NO_TRADE,1703,4720,0.03063089065159197,0.18619782653004902,0.002763967857867361
validation,price_to_sma_200,SELL_vs_NO_TRADE,1568,4720,0.07857142857142863,9.035608267657368e-07,0.1302394348284286
validation,price_to_sma_200,BUY_vs_SELL,1703,1568,0.09118886838352491,2.304999919185037e-06,0.13423978163164588
validation,atr,BUY_vs_NO_TRADE,1703,4720,0.10054626929546068,1.8133757651166912e-11,0.17571634448114867
validation,atr,SELL_vs_NO_TRADE,1568,4720,0.13027499135247317,7.145105506065968e-18,0.22800901595636347
validation,atr,BUY_vs_SELL,1703,1568,0.06253220607091925,0.003183472444851217,0.05705968462268996
validation,atr_pct,BUY_vs_NO_TRADE,1703,4720,0.09877708331259888,4.4027365605699656e-11,0.1613866744415607
validation,atr_pct,SELL_vs_NO_TRADE,1568,4720,0.13246497751643027,1.8255376050988936e-18,0.23222351808965913
validation,atr_pct,BUY_vs_SELL,1703,1568,0.0623341012858461,0.0033154029138064032,0.07438183717092212
validation,volatility_5,BUY_vs_NO_TRADE,1703,4720,0.07252667277088287,3.5752200871014333e-06,0.11509352964390443
validation,volatility_5,SELL_vs_NO_TRADE,1568,4720,0.024792459356623997,0.4555207667717719,0.008719564530236052
validation,volatility_5,BUY_vs_SELL,1703,1568,0.07663322228480351,0.00012707461122416668,0.1200667494051842
validation,volatility_20,BUY_vs_NO_TRADE,1703,4720,0.08293987678772258,6.114672243103058e-08,0.13363971328753366
validation,volatility_20,SELL_vs_NO_TRADE,1568,4720,0.11018678657903835,6.6789038096013e-13,0.19141447617819787
validation,volatility_20,BUY_vs_SELL,1703,1568,0.051961874003858724,0.023218129203037473,0.06136635971400048
validation,volume_sma,BUY_vs_NO_TRADE,1703,4720,0.10185452889716062,9.312675817993821e-12,0.1620067078331191
validation,volume_sma,SELL_vs_NO_TRADE,1568,4720,0.1344106710480802,5.327153210475438e-19,0.18342012311242104
validation,volume_sma,BUY_vs_SELL,1703,1568,0.042158870300909534,0.10572010858791446,0.02534704883651255
validation,volume_ratio,BUY_vs_NO_TRADE,1703,4720,0.24466805836161504,2.751547229878483e-66,0.4501251149013872
validation,volume_ratio,SELL_vs_NO_TRADE,1568,4720,0.22122319266689733,5.592735522320205e-51,0.3849280236342093
validation,volume_ratio,BUY_vs_SELL,1703,1568,0.046244172948098794,0.05839083700024982,0.05944446008153099
validation,obv,BUY_vs_NO_TRADE,1703,4720,0.04585041850373717,0.009981944571049542,0.02374512558591442
validation,obv,SELL_vs_NO_TRADE,1568,4720,0.021806900726392242,0.6203614166675878,0.01562380179176933
validation,obv,BUY_vs_SELL,1703,1568,0.043323157213560726,0.08975692724760902,0.008119562792772697
validation,body_size,BUY_vs_NO_TRADE,1703,4720,0.07455362918876951,1.6903823957029481e-06,0.12190500183614465
validation,body_size,SELL_vs_NO_TRADE,1568,4720,0.06072941888619865,0.0003215428612678246,0.10143543174056907
validation,body_size,BUY_vs_SELL,1703,1568,0.022844589979268304,0.7755738940418075,0.020811730531282442
validation,upper_shadow,BUY_vs_NO_TRADE,1703,4720,0.07231679886939296,3.859237943473344e-06,0.11212730359333006
validation,upper_shadow,SELL_vs_NO_TRADE,1568,4720,0.07257004496713942,7.711547521902704e-06,0.11360451859730032
