treatment,fold,direction_auc,balanced_accuracy,buy_recall,sell_recall,directional_macro_f1,activity_auc,scaler_fit_rows,source
m1_h4,5,0.5178736089364503,0.5093593416123168,0.43720774883099534,0.5815109343936382,0.5069338272106662,0.775488887738452,59556,
m15_h5,1,0.5132754098729474,0.4605926958928939,0.27032404775440594,0.615220700152207,0.4488472104078201,0.7751664145262414,11984,frozen_first_passage_report
m15_h5,2,0.5167678401822823,0.4822930116716444,0.28860759493670884,0.5034542314335061,0.47753350521744703,0.787825757151914,23964,frozen_first_passage_report
m15_h5,3,0.5171001555025722,0.46092280769131166,0.14157806379406826,0.7721958925750395,0.41716854345689186,0.7931569545417906,35944,frozen_first_passage_report
m15_h5,4,0.4809781721546428,0.4679602932685609,0.12354312354312354,0.5365701836290072,0.4375167468980828,0.7900993411342251,47924,frozen_first_passage_report
m15_h5,5,0.520310810140563,0.4702521188177992,0.30724971231300346,0.37257737923054673,0.4654342631526121,0.7817455339968725,59904,frozen_first_passage_report
m1_h5,1,0.507909161209641,0.5034366489430684,0.2796005706134094,0.7272727272727273,0.4731829497224943,0.7704077790110339,11914,
m1_h5,2,0.5113994099855841,0.5085130292350092,0.3400056385678038,0.6770204199022145,0.49329844024007996,0.7912627534664015,23823,
m1_h5,3,0.514494377491634,0.5085254251920919,0.12626262626262627,0.8907882241215574,0.41290784631335037,0.7906553296071259,35732,
m1_h5,4,0.47686244113065906,0.4814903390837255,0.22620446533490013,0.7367762128325509,0.4412089406959374,0.7939890167687909,47641,
m1_h5,5,0.5200805527468824,0.5195251937984496,0.4666666666666667,0.5723837209302326,0.518140285306751,0.7871589122437784,59550,
spread_h5,1,0.5076654235258826,0.5006222690310358,0.3232524964336662,0.6779920416284053,0.4811431650468144,0.76986786215981,11914,
spread_h5,2,0.5122536684137794,0.5104714058366879,0.35974062588102623,0.6612021857923497,0.49832776099803755,0.7881315530551197,23823,
spread_h5,3,0.5178837191868741,0.500417278195056,0.17620650953984288,0.824628046850269,0.4317472426871267,0.7899375565710013,35732,
spread_h5,4,0.48013195375412154,0.4838391821092372,0.2452996474735605,0.7223787167449139,0.4488217049287586,0.7885844428291795,47641,
spread_h5,5,0.5078822042467138,0.510203488372093,0.48,0.540406976744186,0.5097340676142896,0.7844159537733391,59550,
m1_spread_h5,1,0.5093364807020624,0.5074809828278898,0.31982881597717544,0.6951331496786042,0.4860652658331575,0.7737627661266187,11914,
m1_spread_h5,2,0.5147739963264171,0.5078848324553173,0.33098393008175925,0.6847857348288755,0.49109450853802905,0.791714341587725,23823,
m1_spread_h5,3,0.5182048048989064,0.504568476790699,0.12626262626262627,0.8828743273187718,0.41041468988170704,0.7966887331933323,35732,
m1_spread_h5,4,0.47932451741392346,0.48813179376559657,0.24324324324324326,0.7330203442879499,0.4515043593315219,0.7919093202787959,47641,
m1_spread_h5,5,0.5164671385237614,0.5137382035726323,0.4481159420289855,0.579360465116279,0.5115872425138015,0.7866276798383849,59550,
m15_h8,1,0.5152122049465838,0.49892180928103014,0.2973593570608496,0.7004842615012107,0.4749540048899492,0.8042205221670247,11913,
m15_h8,2,0.5121948462310015,0.5045275297164181,0.33877459749552774,0.6702804619373085,0.48827191227809663,0.8263674536183299,23821,
m15_h8,3,0.5289187637546646,0.5130841183821759,0.16097343156954677,0.8651948051948052,0.4305778019266293,0.8363391713062125,35729,
m15_h8,4,0.48317444090572464,0.49152286996340927,0.23708206686930092,0.7459636730575177,0.4513609165817052,0.8220246185383352,47637,
m15_h8,5,0.5150099108570427,0.5100866515539786,0.413623595505618,0.6065497076023392,0.5055020501684059,0.8085358878277653,59545,
m1_h8,1,0.5196974338588303,0.503963744325495,0.26337543053960966,0.7445520581113801,0.47023150532394453,0.8110590753974423,11913,
m1_h8,2,0.5176897168734613,0.5085156832025135,0.33072450805008946,0.6863068583549375,0.4900566371884519,0.8283816847633028,23821,
m1_h8,3,0.526318519613898,0.5129278045018166,0.1422192453672695,0.8836363636363637,0.42113822576487414,0.8433977621422654,35729,
m1_h8,4,0.481051110685909,0.4947040019044442,0.22679448211363104,0.7626135216952573,0.4504212230243385,0.8217206451132764,47637,
m1_h8,5,0.5074867763979236,0.49886104540377163,0.42064606741573035,0.5770760233918129,0.49579012700546476,0.8076686736311849,59545,
