dimension,group,split,row_count,sell_pct,buy_pct,no_trade_pct,validation_minus_train_sell_pct_pp,validation_minus_train_buy_pct_pp,validation_minus_train_no_trade_pct_pp
utc_hour,8,validation,352,22.443181818181817,31.818181818181817,45.73863636363637,-4.916208076956412,5.539185949100151,-0.6229778721437427
utc_hour,9,validation,352,33.80681818181818,29.261363636363637,36.93181818181818,1.5856551694254222,-4.580390415113964,2.9947352456885312
utc_hour,10,validation,352,25.0,29.829545454545453,45.17045454545455,-3.3354510800508272,-1.52369469793231,4.859145777983137
utc_hour,11,validation,352,17.045454545454547,22.15909090909091,60.79545454545455,-5.5720803973662925,-3.1903372992953685,8.762417696661664
utc_hour,12,validation,349,25.501432664756447,13.180515759312321,61.31805157593123,3.4874555364209954,-11.342991229251847,7.855535692830848
utc_hour,13,validation,348,21.839080459770116,26.436781609195403,51.724137931034484,-2.843257532605996,0.928522396997181,1.9147351356088151
utc_hour,14,validation,348,26.436781609195403,31.896551724137932,41.666666666666664,-4.122303524222641,3.0528414318888863,1.069462092333751
utc_hour,15,validation,348,35.05747126436781,38.793103448275865,26.149425287356323,-0.2983101841709441,0.07010471892389347,0.2282054652470471
utc_hour,16,validation,348,36.206896551724135,43.67816091954023,20.114942528735632,0.7445514611616915,4.561541917315893,-5.306093378477588
utc_hour,17,validation,348,26.724137931034484,30.17241379310345,43.10344827586207,-1.2020707203650076,-1.1889093621128382,2.3909800824778458
utc_hour,18,validation,348,19.54022988505747,22.988505747126435,57.47126436781609,-4.251118715451433,-3.570018425901555,7.821137141352985
utc_hour,19,validation,348,20.689655172413794,23.275862068965516,56.03448275862069,-2.7200140387821357,-1.5651048521540751,4.285118890936211
utc_hour,20,validation,333,17.71771771771772,17.71771771771772,64.56456456456456,-5.5289072411232425,-8.294794629993838,13.82370187111708
utc_hour,21,validation,332,16.566265060240966,23.19277108433735,60.24096385542169,-4.5419143592841,-1.9721365673776923,6.514050926661795
utc_hour,22,validation,333,15.015015015015015,16.516516516516518,68.46846846846847,-1.420628549341421,-0.7112062557607111,2.1318348051021303
utc_hour,23,validation,336,8.035714285714286,13.392857142857142,78.57142857142857,0.6662496459257872,5.263313190444716,-5.929562836370508
